total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6627633152,14476234752,21103867904,4195100,109,2022-05-05T07:23:20.507003+00:00,VM1
6627657728,14476210176,21103867904,4195100,109,2022-05-05T07:22:35.507944+00:00,VM1
6627657728,14476210176,21103867904,4195100,109,2022-05-05T07:22:50.508140+00:00,VM1
6627674112,14476193792,21103867904,4195100,109,2022-05-05T07:21:05.507921+00:00,VM1
6627674112,14476193792,21103867904,4195100,109,2022-05-05T07:21:20.510881+00:00,VM1
6627026944,14476840960,21103867904,4195100,109,2022-05-05T07:52:20.469154+00:00,VM1
6627026944,14476840960,21103867904,4195100,109,2022-05-05T07:52:35.475885+00:00,VM1
6627043328,14476824576,21103867904,4195100,109,2022-05-05T07:50:50.469683+00:00,VM1
6627043328,14476824576,21103867904,4195100,109,2022-05-05T07:51:05.481594+00:00,VM1
6627043328,14476824576,21103867904,4195100,109,2022-05-05T07:51:20.464389+00:00,VM1
6627035136,14476832768,21103867904,4195100,109,2022-05-05T07:51:35.463064+00:00,VM1
6627035136,14476832768,21103867904,4195100,109,2022-05-05T07:51:50.463499+00:00,VM1
6627026944,14476840960,21103867904,4195100,109,2022-05-05T07:52:05.466812+00:00,VM1
6627051520,14476816384,21103867904,4195100,109,2022-05-05T07:50:20.470686+00:00,VM1
6627043328,14476824576,21103867904,4195100,109,2022-05-05T07:50:35.470083+00:00,VM1
6626994176,14476873728,21103867904,4195100,109,2022-05-05T07:53:50.462298+00:00,VM1
