utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 06:08:50.619150+00:00,6629238784,14474629120,21103867904,4195100,109
2022-05-05 06:09:05.619110+00:00,6629230592,14474637312,21103867904,4195100,109
2022-05-05 06:09:20.623683+00:00,6629230592,14474637312,21103867904,4195100,109
2022-05-05 06:09:35.630425+00:00,6629230592,14474637312,21103867904,4195100,109
2022-05-05 06:09:50.629290+00:00,6629197824,14474670080,21103867904,4195100,109
2022-05-05 06:14:05.612468+00:00,6629132288,14474735616,21103867904,4195100,109
2022-05-05 06:14:20.618247+00:00,6629132288,14474735616,21103867904,4195100,109
2022-05-05 06:14:35.613096+00:00,6629115904,14474752000,21103867904,4195100,109
2022-05-05 06:14:50.611792+00:00,6629083136,14474784768,21103867904,4195100,109
2022-05-05 06:15:05.616795+00:00,6629083136,14474784768,21103867904,4195100,109
2022-05-05 06:15:20.612449+00:00,6629083136,14474784768,21103867904,4195100,109
2022-05-05 06:15:35.611621+00:00,6629074944,14474792960,21103867904,4195100,109
2022-05-05 06:15:50.609595+00:00,6629074944,14474792960,21103867904,4195100,109
2022-05-05 06:16:05.610083+00:00,6629066752,14474801152,21103867904,4195100,109
2022-05-05 06:16:20.618152+00:00,6629066752,14474801152,21103867904,4195100,109
2022-05-05 06:16:35.608784+00:00,6629058560,14474809344,21103867904,4195100,109
2022-05-05 06:16:50.607735+00:00,6629058560,14474809344,21103867904,4195100,109
2022-05-05 06:17:05.611533+00:00,6629058560,14474809344,21103867904,4195100,109
2022-05-05 06:17:20.607512+00:00,6629050368,14474817536,21103867904,4195100,109
2022-05-05 06:17:35.613750+00:00,6629042176,14474825728,21103867904,4195100,109
2022-05-05 06:17:50.627013+00:00,6629033984,14474833920,21103867904,4195100,109
2022-05-05 06:18:05.616086+00:00,6629033984,14474833920,21103867904,4195100,109
2022-05-05 06:18:20.606563+00:00,6629033984,14474833920,21103867904,4195100,109
2022-05-05 06:18:35.605405+00:00,6629033984,14474833920,21103867904,4195100,109
2022-05-05 06:18:50.604537+00:00,6629033984,14474833920,21103867904,4195100,109
2022-05-05 06:19:05.609574+00:00,6629009408,14474858496,21103867904,4195100,109
2022-05-05 06:19:20.605688+00:00,6629009408,14474858496,21103867904,4195100,109
2022-05-05 06:19:35.606363+00:00,6629017600,14474850304,21103867904,4195100,109
2022-05-05 06:19:50.608265+00:00,6628984832,14474883072,21103867904,4195100,109
2022-05-05 06:20:05.601679+00:00,6628984832,14474883072,21103867904,4195100,109
2022-05-05 06:20:20.607523+00:00,6628984832,14474883072,21103867904,4195100,109
2022-05-05 06:20:35.607093+00:00,6628968448,14474899456,21103867904,4195100,109
2022-05-05 06:20:50.603506+00:00,6628968448,14474899456,21103867904,4195100,109
2022-05-05 06:21:05.601540+00:00,6628960256,14474907648,21103867904,4195100,109
2022-05-05 06:21:20.603121+00:00,6628960256,14474907648,21103867904,4195100,109
2022-05-05 06:21:35.601559+00:00,6628960256,14474907648,21103867904,4195100,109
2022-05-05 06:21:50.613540+00:00,6628960256,14474907648,21103867904,4195100,109
2022-05-05 06:22:05.600943+00:00,6628943872,14474924032,21103867904,4195100,109
2022-05-05 06:22:20.602662+00:00,6628943872,14474924032,21103867904,4195100,109
2022-05-05 06:22:35.600221+00:00,6628943872,14474924032,21103867904,4195100,109
2022-05-05 06:22:50.600342+00:00,6628935680,14474932224,21103867904,4195100,109
2022-05-05 06:23:05.607469+00:00,6628935680,14474932224,21103867904,4195100,109
2022-05-05 06:23:20.602050+00:00,6628935680,14474932224,21103867904,4195100,109
2022-05-05 06:23:35.598978+00:00,6628919296,14474948608,21103867904,4195100,109
2022-05-05 06:23:50.596670+00:00,6628911104,14474956800,21103867904,4195100,109
2022-05-05 06:24:05.603076+00:00,6628911104,14474956800,21103867904,4195100,109
2022-05-05 06:24:20.596212+00:00,6628911104,14474956800,21103867904,4195100,109
2022-05-05 06:24:35.598913+00:00,6628911104,14474956800,21103867904,4195100,109
2022-05-05 06:24:50.597934+00:00,6628878336,14474989568,21103867904,4195100,109
2022-05-05 06:25:05.594925+00:00,6628870144,14474997760,21103867904,4195100,109
2022-05-05 06:25:20.596340+00:00,6628870144,14474997760,21103867904,4195100,109
2022-05-05 06:25:35.595610+00:00,6628861952,14475005952,21103867904,4195100,109
2022-05-05 06:25:50.604497+00:00,6628861952,14475005952,21103867904,4195100,109
2022-05-05 06:26:05.595125+00:00,6628853760,14475014144,21103867904,4195100,109
2022-05-05 06:26:20.595637+00:00,6628853760,14475014144,21103867904,4195100,109
2022-05-05 06:26:35.593638+00:00,6628845568,14475022336,21103867904,4195100,109
2022-05-05 06:26:50.604367+00:00,6628845568,14475022336,21103867904,4195100,109
2022-05-05 06:27:05.593667+00:00,6628837376,14475030528,21103867904,4195100,109
2022-05-05 06:27:20.601043+00:00,6628837376,14475030528,21103867904,4195100,109
2022-05-05 06:27:35.591256+00:00,6628837376,14475030528,21103867904,4195100,109
