in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1476046,71289351,15,0,210626,252723745,0,eth0,2022-05-05T06:04:39.603057+00:00,VM1
0,1475828,71276504,15,0,210465,252651920,0,eth0,2022-05-05T06:00:54.584570+00:00,VM1
0,1475842,71277318,15,0,210475,252656120,0,eth0,2022-05-05T06:01:09.656137+00:00,VM1
0,1475974,71285113,15,0,210573,252700211,0,eth0,2022-05-05T06:03:24.584853+00:00,VM1
0,1475988,71285927,15,0,210583,252704417,0,eth0,2022-05-05T06:03:39.600759+00:00,VM1
0,1477154,71354653,15,0,211458,253091775,0,eth0,2022-05-05T06:23:39.560376+00:00,VM1
0,1477170,71355600,15,0,211470,253097267,0,eth0,2022-05-05T06:23:54.559372+00:00,VM1
0,1477301,71363308,15,0,211567,253140054,0,eth0,2022-05-05T06:26:09.576958+00:00,VM1
0,1477317,71364255,15,0,211579,253145577,0,eth0,2022-05-05T06:26:24.558370+00:00,VM1
0,1477125,71352944,15,0,211436,253082056,0,eth0,2022-05-05T06:23:09.576670+00:00,VM1
0,1477141,71353885,15,0,211449,253087619,0,eth0,2022-05-05T06:23:24.578202+00:00,VM1
0,1477184,71356414,15,0,211480,253101402,0,eth0,2022-05-05T06:24:09.560471+00:00,VM1
0,1477200,71357361,15,0,211492,253106905,0,eth0,2022-05-05T06:24:24.559134+00:00,VM1
0,1477243,71359890,15,0,211523,253120831,0,eth0,2022-05-05T06:25:09.557663+00:00,VM1
0,1477258,71360785,15,0,211535,253126280,0,eth0,2022-05-05T06:25:24.563120+00:00,VM1
0,1477360,71366778,15,0,211611,253159422,0,eth0,2022-05-05T06:27:09.558674+00:00,VM1
0,1477375,71367673,15,0,211623,253164901,0,eth0,2022-05-05T06:27:24.568976+00:00,VM1
0,1477331,71365069,15,0,211589,253149757,0,eth0,2022-05-05T06:26:39.562281+00:00,VM1
0,1477346,71365964,15,0,211601,253155234,0,eth0,2022-05-05T06:26:54.555397+00:00,VM1
0,1477213,71358129,15,0,211501,253111069,0,eth0,2022-05-05T06:24:39.603236+00:00,VM1
0,1477230,71359122,15,0,211514,253116652,0,eth0,2022-05-05T06:24:54.547134+00:00,VM1
0,1477272,71361599,15,0,211545,253130437,0,eth0,2022-05-05T06:25:39.557988+00:00,VM1
0,1477287,71362494,15,0,211557,253135899,0,eth0,2022-05-05T06:25:54.580494+00:00,VM1
0,1478381,71427301,15,0,212381,253498602,0,eth0,2022-05-05T06:44:39.527880+00:00,VM1
0,1478398,71428294,15,0,212394,253504123,0,eth0,2022-05-05T06:44:54.529574+00:00,VM1
0,1478323,71423883,15,0,212337,253479245,0,eth0,2022-05-05T06:43:39.537925+00:00,VM1
0,1478339,71424824,15,0,212350,253484788,0,eth0,2022-05-05T06:43:54.549139+00:00,VM1
0,1478352,71425592,15,0,212359,253488939,0,eth0,2022-05-05T06:44:09.531576+00:00,VM1
